"","Entity","Code","Year","nuclear_perc"
"606","Mexico","MEX","1975",0
"607","Middle East (EI)","","1975",0
"608","Netherlands","NLD","1975",1.1500475
"609","New Zealand","NZL","1975",0
"610","Non-OECD (EI)","","1975",0.45494074
"611","North America","","1975",2.438997
"612","North America (EI)","","1975",2.4811554
"613","OECD (EI)","","1975",2.1429772
"614","Oceania","","1975",0
"615","Pakistan","PAK","1975",1.5908664
"616","Peru","PER","1975",0
"617","Poland","POL","1975",0
"618","Romania","ROU","1975",0
"619","Saudi Arabia","SAU","1975",0
"620","Slovakia","SVK","1975",0.28981826
"621","South Africa","ZAF","1975",0
"622","South America","","1975",0.37203196
"623","South and Central America (EI)","","1975",0.3029626
"624","Spain","ESP","1975",2.9051807
"625","Switzerland","CHE","1975",7.9922967
"626","Taiwan","TWN","1975",0
"627","USSR","OWID_USS","1975",0.7181552
"628","United Kingdom","GBR","1975",3.6045036
"629","United States","USA","1975",2.6669874
"630","Upper-middle-income countries","","1975",0.5131315
"631","Venezuela","VEN","1975",0
"632","World","OWID_WRL","1975",1.5689932
"633","Africa","","1976",0
"634","Africa (EI)","","1976",0
"635","Algeria","DZA","1976",0
"636","Argentina","ARG","1976",1.7264837
"637","Asia","","1976",0.8812963
"638","Asia Pacific (EI)","","1976",0.9163702
"639","Austria","AUT","1976",0
"640","Bangladesh","BGD","1976",0
"641","Belgium","BEL","1976",5.181654
"642","Brazil","BRA","1976",0
"643","Bulgaria","BGR","1976",5.0377827
"644","CIS (EI)","","1976",0.92156583
"645","Canada","CAN","1976",2.0616767
"646","Central America (EI)","","1976",0.0622826
"647","Chile","CHL","1976",0
"648","China","CHN","1976",0
"649","Colombia","COL","1976",0
"650","Czechia","CZE","1976",0
"651","Egypt","EGY","1976",0
"652","Europe","","1976",1.6309378
"653","Europe (EI)","","1976",2.050638
"654","European Union (27)","","1976",1.7279146
"655","Finland","FIN","1976",0
"656","France","FRA","1976",2.0891435
"657","Germany","DEU","1976",2.086192
"658","High-income countries","","1976",2.3209805
"659","Hungary","HUN","1976",0
"660","India","IND","1976",0.73927885
"661","Indonesia","IDN","1976",0
"662","Iran","IRN","1976",0
"663","Italy","ITA","1976",0.64727455
"664","Japan","JPN","1976",2.400315
"665","Lower-middle-income countries","","1976",0.41854465
"666","Malaysia","MYS","1976",0
"667","Mexico","MEX","1976",0
"668","Middle East (EI)","","1976",0
"669","Netherlands","NLD","1976",1.224267
"670","New Zealand","NZL","1976",0
"671","Non-OECD (EI)","","1976",0.57891685
"672","North America","","1976",2.6055222
"673","North America (EI)","","1976",2.649665
"674","OECD (EI)","","1976",2.3426187
"675","Oceania","","1976",0
"676","Pakistan","PAK","1976",1.3281889
"677","Peru","PER","1976",0
"678","Poland","POL","1976",0
"679","Romania","ROU","1976",0
"680","Saudi Arabia","SAU","1976",0
"681","Slovakia","SVK","1976",0.6603119
"682","South Africa","ZAF","1976",0
"683","South America","","1976",0.35443002
"684","South and Central America (EI)","","1976",0.2896016
"685","Spain","ESP","1976",2.7228394
"686","Switzerland","CHE","1976",8.560948
"687","Taiwan","TWN","1976",0
"688","USSR","OWID_USS","1976",0.92156583
"689","United Kingdom","GBR","1976",4.2090797
"690","United States","USA","1976",2.80126
"691","Upper-middle-income countries","","1976",0.6640983
"692","Venezuela","VEN","1976",0
"693","World","OWID_WRL","1976",1.7425637
"694","Africa","","1977",0
"695","Africa (EI)","","1977",0
"696","Algeria","DZA","1977",0
"697","Argentina","ARG","1977",1.0521969
"698","Asia","","1977",0.75416523
"699","Asia Pacific (EI)","","1977",0.7908291
"700","Austria","AUT","1977",0
"701","Bangladesh","BGD","1977",0
"702","Belgium","BEL","1977",6.152732
"703","Brazil","BRA","1977",0
"704","Bulgaria","BGR","1977",5.638109
"705","CIS (EI)","","1977",1.1797012
"706","Canada","CAN","1977",2.9479222
"707","Central America (EI)","","1977",0
"708","Chile","CHL","1977",0
"709","China","CHN","1977",0
"710","Colombia","COL","1977",0
"711","Czechia","CZE","1977",0
"712","Egypt","EGY","1977",0
"713","Europe","","1977",1.9356747
"714","Europe (EI)","","1977",2.3908594
"715","European Union (27)","","1977",2.0964468
"716","Finland","FIN","1977",3.1640697
"717","France","FRA","1977",2.3443518
"718","Germany","DEU","1977",2.9212904
"719","High-income countries","","1977",2.820899
"720","Hungary","HUN","1977",0
"721","India","IND","1977",0.48726797
"722","Indonesia","IDN","1977",0
"723","Iran","IRN","1977",0
"724","Italy","ITA","1977",0.573652
"725","Japan","JPN","1977",2.214376
"726","Lower-middle-income countries","","1977",0.261665
"727","Malaysia","MYS","1977",0
"728","Mexico","MEX","1977",0
"729","Middle East (EI)","","1977",0
"730","Netherlands","NLD","1977",1.1944866
"731","New Zealand","NZL","1977",0
"732","Non-OECD (EI)","","1977",0.6769673
"733","North America","","1977",3.3615372
"734","North America (EI)","","1977",3.419511
"735","Norway","NOR","1977",0
"736","OECD (EI)","","1977",2.8507962
"737","Oceania","","1977",0
"738","Pakistan","PAK","1977",0.77621025
"739","Peru","PER","1977",0
"740","Poland","POL","1977",0
"741","Romania","ROU","1977",0
"742","Saudi Arabia","SAU","1977",0
"743","Slovakia","SVK","1977",0.16203023
"744","South Africa","ZAF","1977",0
"745","South America","","1977",0.21202816
"746","South and Central America (EI)","","1977",0.17247772
"747","Spain","ESP","1977",2.2678983
