"","Entity","Code","Year","source","energy_twh","energy_prop"
"369","India","IND",2013,"fossil_fuels",924.93,0.806995654981067
"370","India","IND",2014,"nuclear",34.69,0.0274876784837007
"371","India","IND",2014,"renewables",202.04,0.160092550038827
"372","India","IND",2014,"fossil_fuels",1025.29,0.812419771477473
"373","India","IND",2015,"nuclear",38.31,0.0289796968138219
"374","India","IND",2015,"renewables",203.21,0.153718720687464
"375","India","IND",2015,"fossil_fuels",1080.44,0.817301582498714
"376","India","IND",2016,"nuclear",37.9,0.0270399463481803
"377","India","IND",2016,"renewables",208.21,0.148548475703288
"378","India","IND",2016,"fossil_fuels",1155.52,0.824411577948531
"379","India","IND",2017,"nuclear",37.41,0.0254289132385329
"380","India","IND",2017,"renewables",234.9,0.159669920334974
"381","India","IND",2017,"fossil_fuels",1198.85,0.814901166426493
"382","India","IND",2018,"nuclear",39.05,0.0247311555561185
"383","India","IND",2018,"renewables",263.61,0.166949549709306
"384","India","IND",2018,"fossil_fuels",1276.32,0.808319294734575
"385","India","IND",2019,"nuclear",45.16,0.0278437151259934
"386","India","IND",2019,"renewables",303.16,0.186915426873254
"387","India","IND",2019,"fossil_fuels",1273.59,0.785240858000752
"388","India","IND",2020,"nuclear",44.61,0.0285465633418869
"389","India","IND",2020,"renewables",315.76,0.202059243237709
"390","India","IND",2020,"fossil_fuels",1202.34,0.769394193420404
"391","India","IND",2021,"nuclear",43.92,0.0256280087527352
"392","India","IND",2021,"renewables",332.2,0.193843909555069
"393","India","IND",2021,"fossil_fuels",1337.63,0.780528081692195
"394","India","IND",2022,"nuclear",46.29,0.0251856688158002
"395","India","IND",2022,"renewables",376.33,0.204755298022253
"396","India","IND",2022,"fossil_fuels",1415.33,0.770059033161947
"397","Norway","NOR",1990,"nuclear",0,0
"398","Norway","NOR",1990,"renewables",121.35,0.999094352050058
"399","Norway","NOR",1990,"fossil_fuels",0.11,0.000905647949942368
"400","Norway","NOR",1991,"nuclear",0,0
"401","Norway","NOR",1991,"renewables",110.34,0.998913633894622
"402","Norway","NOR",1991,"fossil_fuels",0.12,0.00108636610537751
"403","Norway","NOR",1992,"nuclear",0,0
"404","Norway","NOR",1992,"renewables",116.9,0.999059909409452
"405","Norway","NOR",1992,"fossil_fuels",0.11,0.000940090590547816
"406","Norway","NOR",1993,"nuclear",0,0
"407","Norway","NOR",1993,"renewables",119.48,0.998913134353315
"408","Norway","NOR",1993,"fossil_fuels",0.13,0.00108686564668506
"409","Norway","NOR",1994,"nuclear",0,0
"410","Norway","NOR",1994,"renewables",111.92,0.997504456327986
"411","Norway","NOR",1994,"fossil_fuels",0.28,0.00249554367201426
"412","Norway","NOR",1995,"nuclear",0,0
"413","Norway","NOR",1995,"renewables",121.83,0.997543601080816
"414","Norway","NOR",1995,"fossil_fuels",0.3,0.00245639891918448
"415","Norway","NOR",1996,"nuclear",0,0
"416","Norway","NOR",1996,"renewables",104.17,0.9961748111313
"417","Norway","NOR",1996,"fossil_fuels",0.4,0.00382518886870039
"418","Norway","NOR",1997,"nuclear",0,0
"419","Norway","NOR",1997,"renewables",110.03,0.996829135712992
"420","Norway","NOR",1997,"fossil_fuels",0.35,0.00317086428700852
"421","Norway","NOR",1998,"nuclear",0,0
"422","Norway","NOR",1998,"renewables",115.98,0.997162754707248
"423","Norway","NOR",1998,"fossil_fuels",0.33,0.00283724529275213
"424","Norway","NOR",1999,"nuclear",0,0
"425","Norway","NOR",1999,"renewables",121.75,0.99672533769955
"426","Norway","NOR",1999,"fossil_fuels",0.4,0.00327466230045027
"427","Norway","NOR",2000,"nuclear",0,0
"428","Norway","NOR",2000,"renewables",142.11,0.997753282314119
"429","Norway","NOR",2000,"fossil_fuels",0.32,0.00224671768588078
"430","Norway","NOR",2001,"nuclear",0,0
"431","Norway","NOR",2001,"renewables",120.74,0.996533509409046
"432","Norway","NOR",2001,"fossil_fuels",0.42,0.00346649059095411
"433","Norway","NOR",2002,"nuclear",0,0
"434","Norway","NOR",2002,"renewables",129.7,0.996772210267446
"435","Norway","NOR",2002,"fossil_fuels",0.42,0.00322778973255457
"436","Norway","NOR",2003,"nuclear",0,0
"437","Norway","NOR",2003,"renewables",106.03,0.994746223848391
"438","Norway","NOR",2003,"fossil_fuels",0.56,0.00525377615160897
"439","Norway","NOR",2004,"nuclear",0,0
"440","Norway","NOR",2004,"renewables",109.39,0.994635388252409
"441","Norway","NOR",2004,"fossil_fuels",0.59,0.00536461174759047
"442","Norway","NOR",2005,"nuclear",0,0
"443","Norway","NOR",2005,"renewables",136.52,0.995769511305616
"444","Norway","NOR",2005,"fossil_fuels",0.58,0.00423048869438366
"445","Norway","NOR",2006,"nuclear",0,0
"446","Norway","NOR",2006,"renewables",120.4,0.994301759022215
"447","Norway","NOR",2006,"fossil_fuels",0.69,0.00569824097778512
